Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR CAMPOS DOS GOYTACAZES - CENTRO;ok;Potente;225;303;306;3;99,02%;2;NÃO USA CRM;190;5%;;;; ;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;15;MBRJ2025154;;;;;
MAPLE BEAR FLORIANÓPOLIS - ESTREITO/CONTINENTE;;Desenvolvimento;303;297;311;14;95,43%;3;NÃO USA CRM;98;5%;;;;71;317;Sim;Portifólio;Havia uma pendência que foi regularizada em 22/08;VOUCHERS LIBERADOS SEM FIRMAR O COMPROMISSO DE UTILIZAÇÃO DA TOODLE. DIENTE DA SITUAÇÃO OCORRIDA NA LIGAÇÃO, OS VOUCHERS FORAM LIBERADOS (COMUNIQUEI AO RAMIRES SOBRE);15;MBSC2025136;Sim;N/a;Sim;;
MAPLE BEAR SÃO PAULO - PANAMBY;;Potente;232;293;353;60;82,91%;4;NÃO USA CRM;106;5%;;;;21;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;15;MBSP2025148;;;;;
MAPLE BEAR SÃO PAULO - SANTANA;ok;Alta Performance;257;280;110;-170;255,27%;;NÃO USA CRM;121;5%;;;;10;;Sim;Portifólio;Havia uma pendência financeira que foi regularizada. ;LIBERADOS OS VOUCHERS SEM COMPROMISSO DE UTILIZAÇÃO DA TODDLE;14;MBSP2025236;Sim;N/A;Sim;;
MAPLE BEAR SÃO BERNARDO DO CAMPO - CENTRO;ok;Potente;250;271;235;-36;115,19%;2;NÃO USA CRM;163;5%;;;;39;;Sim;Portifólio;;VOUCHERS LIBERADOS, SEM O COMPROMISSO DE UTILIZAÇÃO DA TODDLE/OWNER RESISTENTE SOBRE A UTILIZAÇÃO - PASSADO AO RAMIRES E AUTORIZADO O ENVIO;14;MBSP2025146;Sim;N/A;Sim;;
MAPLE BEAR BAURU - VILA AVIAÇÃO;ok;Potente;261;278;275;-3;101,16%;2;NÃO USA CRM;83;5%;;;;25;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;14;Código antigo: MBSP2025144/ Código certo: MBSP2025203;Sim;Sim;Sim;;
MAPLE BEAR RIO DE JANEIRO - ILHA DO GOVERNADOR;;Desenvolvimento;272;289;334;45;86,45%;2;NÃO USA CRM;82;5%;;;;1;;Sim;Toddle;;VOUCHERS LIBERADOS. FALEI COM RODRIGO, DIRETOR DA ESCOLA E ALINHAMOS SOBRE A IMPLANTAÇÃO DA TODDLE;14;MBRJ2025141;Sim;;;;
MAPLE BEAR SÃO PAULO - GRANJA JULIETA;ok ;Stand by;249;275;626;351;43,90%;8;NÃO USA CRM;147;0%;;;;27;327;Não ;Portifólio/Não atingiu meta;Se alinhado Toddle, liberar 5%;LLIBERAR 5% DE VOUCHER, POIS DE ACORDO COM A META QUE FOI FORMALIZADA, A ESCOLA ATINGIU 85% DA META. LIBERAR  FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;14;MBSP2025245;;;;;
MAPLE BEAR PETROLINA;;Implantação;3;262;70;-192;374,29%;2;NÃO USA CRM;83;5%;;;2;;;Sim ;;;;13;MBPE2025284;Sim ;N/A;Sim;;
MAPLE BEAR PRESIDENTE PRUDENTE - JARDIM CAMBUÍ;ok;Potente;214;263;226;-37;116,29%;17;NÃO USA CRM;48;5%;;;;10;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;13;MBSP2025158;;;;;
MAPLE BEAR FEIRA DE SANTANA;;Desenvolvimento;210;262;234;-28;111,88%;3;NÃO USA CRM;30;5%;;;;31;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (OWNER ANNA SOUZA);13;MBBA2025162;Sim;;Sim;;
MAPLE BEAR NOVA IGUAÇU;ok;Potente;203;252;264;12;95,55%;6;NÃO USA CRM;408;5%;;;;28;;Sim;Portifólio;hENRIQUE resistente, diz que usa Classap, mas se colocou a disposição para entender mais sobre a toddle e como implantar em sua escola. ;VOUCHERS LIBERADOR , FIRMANDO COMPROMISSO PARA ANALISE DE UMA LINHA DO TEMPO PARA IMPLANTAÇÃO DA TODDLE;13;MBRJ2025163;Sim;Sim;Sim;;
MAPLE BEAR SÃO PAULO - ALTO DE PINHEIROS;;Stand by;276;266;297;31;89,68%;2;USA CRM;153;5%;;;;52;;Sim;FDMP/Portifólio;Vinicius fez negociação com a escola em 30/08 ;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;13;MBSP2025193;Sim;;;;
MAPLE BEAR SINOP - RECANTO SUÍÇO;;Alta Performance;225;253;295;42;85,80%;4;USA CRM;74;5%;;;18;;;Sim ;;;;13;MBMT2025153;Sim ;;Sim;;
MAPLE BEAR CATANDUVA - CENTRO;;Desenvolvimento;210;247;236;-11;104,56%;;NÃO USA CRM;55;5%;;;;16;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;12;MBSP2025183;Sim;Sim;Sim;;
MAPLE BEAR SÃO JOSÉ DOS CAMPOS - SERIMBURA;ok;Potente;211;234;234;0;100,10%;3;NÃO USA CRM;148;5%;;;;40;;Não ;Portifólio;Mayra vai falar com a equipe de coordenação para verificar o pq ainda não aderiam ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;12;MBSP2025160;;;;;
MAPLE BEAR TERESINA - MORADA DO SOL;ok;Potente;226;231;243;12;95,14%;;NÃO USA CRM;31;5%;;;;35;;Sim ;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE/CARMEM ESTAVA BEM RESISTENTE, NÃO NOS DEU O DE ACORDO NO E-MAIL;12;MBPI2025151;Sim;Não;Não;;
MAPLE BEAR SÃO PAULO - POMPÉIA;;Potente;221;240;254;14;94,53%;1;NÃO USA CRM;129;5%;;;;37;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;12;MBSP2025156;Sim;Sim;Sim;;
