"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"FEED_MB_Dia_das_Crianças_Doações","EAGrybUgsHU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"FEED_Carrossel_02_Toronto​","EAGrybRlmss","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Molduras - Story","EAGrybRaBlA","Story","Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGrybPSawQ",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1350px","EAGrybOhE8k",,"Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGrybOKXSo",,,,,
"Modelo excluído","EAGrybLo8_4",,,,,
"18x7cm - Vale Cinema","EAGrybLh-zw",,"Maple Bear | Comunicação",0,0,0
"Halloween MB - KV","EAGrybKKyvA","Apresentação","Maple Bear | Comunicação",0,0,0
"Instagram - Post 05","EAGrybIiotI","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGrybCcHTY","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - High School","EAGrybAhNnA",,"Maple Bear | Comunicação",0,0,0
"Carrossel_02 - FEED","EAGryb9PICA",,"Maple Bear | Comunicação",0,0,0
"Posts Fotos - 1080 x 1350","EAGryb7iP30","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Tecnologia e Inovação Dentro e Fora do Currículo","EAGryb77RsA",,"Maple Bear | Comunicação",0,0,0
"Cartas de Poder - A3 - Frente e Verso","EAGryb5d_lg","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080px","EAGryb54oC4",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1350px","EAGryb463tY",,"Maple Bear | Comunicação",0,0,0
"FEED_MB_Cantata_de_Natal","EAGryb3bBh4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Inadimplência e Cobrança.docx","EAGryb0mM64","Doc","Maple Bear | Comunicação",0,0,0
"Stories 1080 x 1920","EAGryb-QVZE",,"Maple Bear | Comunicação",0,0,0
"Do relacionamento ao resultado:  a força do consultor comercial e do CRM na expansão da sua escola","EAGryaymwVo",,"Maple Bear | Comunicação",0,0,0
"Postagem 5 Mitos x 5 Verdades","EAGryaumZMw","Post para Instagram (4:5)","Maple Bear | Comunicação",0,13,0
" CAPA - Depoimento da Sophia ","EAGryaqqN_c","Story","Maple Bear | Comunicação",0,0,0
"Story - Casting ","EAGryanPPHM","Story","Maple Bear | Comunicação",0,0,0
"A toddle Como ferramenta de comunicação - validação.docx","EAGryamt1uU","Doc","Maple Bear | Comunicação",0,0,0
"Como se inscrever?","EAGryalim2c","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"FEED 1080_Carrossel_02_Toronto​","EAGryajhkP0",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1080","EAGryaiIkH4",,"Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - Infantil","EAGryai9QGo",,"Maple Bear | Comunicação",0,0,0
"FEED - Conteúdos","EAGryagw9SE","1080 x 1350 px","Maple Bear | Comunicação",0,15,1
"Livreto Brinde - 10 x 10cm","EAGryacSzDU",,"Maple Bear | Comunicação",0,0,0
"LINHAS DE CRÉDITO.docx","EAGryabgV2U","Doc","Maple Bear | Comunicação",0,0,0
"Livreto Brinde - 10 x 10cm","EAGryabCQWM",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Moldura Stories","EAGryaaaeJQ","Story","Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO","EAGryaa_Bh0","1080 x 1350 px","Maple Bear | Comunicação",0,13,0
"Análise de indicadores e gestão do fluxo de caixa.pdf","EAGryaW3Gh8","Catálogo","Maple Bear | Comunicação",0,0,0
"Ficha de Fluxograma de Matrículas.docx","EAGryaTSszM","Doc","Maple Bear | Comunicação",0,0,0
"FEED_Carrossel_06_Londres","EAGryaTArEo","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Lembretes - Contagem Regressiva","EAGryaREWwY","Post para Instagram","Maple Bear | Comunicação",0,0,0
"FOLHA DE PAGAMENTOS -  Indicadores.docx","EAGryaOH_Eo","Doc","Maple Bear | Comunicação",0,0,0
