"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Feed - Carrossel 1","EAGryV7U7AQ","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Post Social","EAGryV4KEE8","1080 x 1350 px","Paula Kopczynski",0,0,0
"Concurso Boas Práticas em Documentação Digital - Layout PPT ","EAGryV0NBRA","Apresentação","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento","EAGryV09ATA","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"Abertura e Fechamento da Escola.docx","EAGryUzT0SE","Doc","Maple Bear | Comunicação",0,0,0
"09 - SETEMBRO","EAGryUzBq5A","1080 x 1350 px","Maple Bear | Comunicação",0,11,0
"Performance - Julho","EAGryUxG2WY","Story","Maple Bear | Comunicação",0,0,0
"Maple Bear Valinhos - Inspiração para todo jeito de aprender.pdf","EAGryUv_g10",,"Maple Bear | Comunicação",0,0,0
"Cópia de Instagram Post - 1080 x 1080px","EAGryUtVtY4",,"Maple Bear | Comunicação",0,0,0
"Pasta L ","EAGryUq97no",,"Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryUpuaGI",,"Maple Bear | Comunicação",0,0,0
"Instruções de Montagem do Livreto","EAGryUp7yK4",,"Maple Bear | Comunicação",0,0,0
"Summer Camp 25 - Feed e Whatsapp","EAGryUmrEsc","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"03 - MARÇO","EAGryUmLQYg","1080 x 1350 px","Maple Bear | Comunicação",0,13,0
"GEC 2025 - Modelo PPT","EAGryUliUB4","Apresentação","Maple Bear | Comunicação",0,0,0
"Bate-Papo MB - Thumbs YT","EAGryUl4p1Y",,"Maple Bear | Comunicação",0,0,0
"Arraial","EAGryUkXcac",,"Maple Bear | Comunicação",0,2,1
"Régua de Aquecimento - 1080 x 1080px","EAGryUhCbyo",,"Maple Bear | Comunicação",0,0,0
"Step Up - Fundo de Reunião","EAGryUgSj9Q","Apresentação","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 02","EAGryU__ROI","Story","Maple Bear | Comunicação",0,0,0
"Performance - Agosto","EAGryU_73ts",,"Maple Bear | Comunicação",0,0,0
"FEED_MB_Dica_de_Livros","EAGryUYOpjI","1080 x 1350 px","Maple Bear | Comunicação",0,11,0
"Cards ELE - A5","EAGryUXpmtI",,"Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 01 - 1080x1350","EAGryUWjeCc","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"TFR - Mochila - 35 x 40 cm","EAGryUWM8J4",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGryUTzgGE","Post para Instagram","Maple Bear | Comunicação",0,0,0
"SLM+ 4X - Contagem Regressiva - 1080 x 1080px","EAGryUTxDyk","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - Fundamental","EAGryUTQJCU",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Cards de Instrução - A5","EAGryUTKcYg",,"Maple Bear | Comunicação",0,0,0
"Condição Especial - Feed - 1080 x 1920px 1080 x 1350 px","EAGryUSz4II",,"Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 01","EAGryUSkYzU","Story","Maple Bear | Comunicação",0,0,0
"FEED 1080_Carrossel_05_Los_Angeles","EAGryUOqZ_4",,"Maple Bear | Comunicação",0,0,0
"Cartão de Visitas - Preschool - Sangria 3mm","EAGryUOVpRM",,"Maple Bear | Comunicação",0,0,0
"Manual Portaria Maple Bear.pdf","EAGryUM7LW0","Livreto (pequeno)","Maple Bear | Comunicação",0,0,0
"14- Dia internacional da matemática","EAGryUJCDTM","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Maple_Bear_Cantareira_STORY_Arraial","EAGryUHJpx4","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGryUEs4kM","Post para Instagram","Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_04_New_Brunswick","EAGryUEW0Ag","Story","Maple Bear | Comunicação",0,0,0
"Outdoors - 10x3m","EAGryUD7JkI",,"Maple Bear | Comunicação",0,0,0
"Cards - Scavenger Hunt - A6","EAGryUAmbfQ",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryU9Uw3s","Story","Maple Bear | Comunicação",0,0,0
"Tabela de Valores.ppt","EAGryU6cwyQ",,"Maple Bear | Comunicação",0,5,0
"Régua de Aquecimento - 1080 x 1350 px","EAGryU6IEOc",,"Maple Bear | Comunicação",0,0,0
"Instagram Post - 1080 x 1350px","EAGryU4gOBo",,"Maple Bear | Comunicação",0,0,0
"Journal Ad - 30,7cm x 53cm","EAGryU4Ase4",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080 x 1920 px","EAGryU3MfOA",,"Maple Bear | Comunicação",0,0,0
"Moldura Post - 1080 x 1350 px","EAGryU2zZoM",,"Maple Bear | Comunicação",0,0,0
"TFR 2024 - Camiseta 01 - Costas","EAGryU0nx8o","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"Papel Timbrado A4","EAGryTzalcc","Documento (A4)","Maple Bear | Comunicação",0,3,0
"Post Carrossel 05","EAGryTzJm0M","Apresentação responsiva","Maple Bear | Comunicação",0,0,0
